date,obs_gdp,obs_consumption,obs_investment,obs_wages,obs_hours,obs_gdpdeflator,obs_nominalrate
1954-03-31,,,,,,,
1954-06-30,,,,,,,
1954-09-30,,,,,,,
1954-12-31,0.0108852702107439,0.00964360212763489,0.0421191701133399,0.00315191067085093,0.0144087046700427,-0.00510468812038691,-0.00891709587929134
1955-03-31,0.0212605628917751,0.0133616965363052,0.0882512437442547,-0.00176580464112634,0.0276208877465232,-0.00320339102944868,-0.00902515680913615
1955-06-30,0.0120079105329894,0.00837124063971247,0.0446990341707441,5.22795479707874e-5,0.0377319366593341,-0.00369949606031852,-0.00813607952133468
1955-09-30,0.00419257674686099,0.00175025133612068,0.0133775330783674,0.00694967159451994,0.045188652440963,-0.000883750176703188,-0.00774579996827479
1955-12-31,-0.000180518692920603,-0.0022561062471174,0.0362920321918861,-0.00476109008818352,0.0542500565307558,0.00207363311607332,-0.00665050960685985
1956-03-31,-0.0115607910753403,-0.0117275075610857,-0.024925989751587,0.00159523650977185,0.0573027295901563,0.00204224725900935,-0.00561440757831846
1956-06-30,-0.00238633992546569,-0.00350704494511382,-0.0301546983435248,0.00934912690553343,0.0564962719557522,-0.00191999640346532,-0.00529964522129721
1956-09-30,-0.0096820907193719,-0.00810204193766899,-0.0041438489315446,-0.00101845578076824,0.0494295958916613,0.00461444339381487,-0.00477802055566714
1956-12-31,0.00477387316160657,0.00786832789260879,-0.026231256411565,0.00875624182533193,0.0518147541338356,-0.00383396190445386,-0.00448834660236459
1957-03-31,-0.00147997384582213,-0.00546556499140442,-0.0139463308571894,-0.00330902167085204,0.0496202634914988,0.00581439557318462,-0.00419875653576228
1957-06-30,-0.00807850796780466,-0.00663560662937583,-0.0125310535785914,-0.000770330565429892,0.0443278784769507,-0.000863415579921664,-0.00418221106467087
1957-09-30,0.00262757430669444,0.00226877799360232,0.00440346079699697,0.0034849979682496,0.0362826060965373,-0.00191735575420251,-0.00401677140840803
1957-12-31,-0.0166982813361797,-0.00289962585336538,-0.119022566108763,0.0088434401733913,0.0120829923007602,-0.00715394362720214,-0.00343794805739811
1958-03-31,-0.02899536577397,-0.0202381431676586,-0.0813544511041382,-0.0143139920658545,-0.0140166015539096,0.00290407722707473,-0.00338835021324102
1958-06-30,0.000261717559303901,-0.000718581616971068,-0.0361618097254297,0.00219771425709222,-0.0320356150949364,-0.00492800034042841,-0.0068412693703985
1958-09-30,0.0145140107765259,0.00323313330870208,0.0872035599615124,0.0129636985501284,-0.0233460991222652,-0.00178959843830897,-0.00914154317876088
1958-12-31,0.0177468244318704,0.000451160277875797,0.0926196446171499,-0.00459212301934157,-0.0118389451646452,-0.00311285429577281,-0.00818591340838829
1959-03-31,0.00980445210789801,0.0146815569515275,0.0284098335929617,0.00346207980665088,0.00400905417217778,-0.00551806285274982,-0.00609502543009323
1959-06-30,0.0171249869028583,0.00987954086301764,0.0624524867395184,0.00290927160684792,0.0194489973227947,-0.00631719008595446,-0.00508433857411505
1959-09-30,-0.0107932133115322,0.0045699108450505,-0.0787478035682127,-0.00183572874755037,0.013108368760121,-0.00400470596101401,-0.00381001032010809
1959-12-31,-0.00373994123578628,-0.0053340372787614,0.0222812809303914,0.00181472897851739,0.00983015846022361,-0.00395878855391565,-0.0025868595630617
1960-03-31,0.0103162037265297,-0.00124597174529177,0.0966577457582503,0.0132382632212776,0.0126137232877159,-0.00379272528027499,-0.00156320817553603
1960-06-30,-0.014173300442686,0.00720698120310588,-0.112939631062078,0.000262374962814635,0.0107471698656285,-0.00537346339849633,-0.00170348551231206
1960-09-30,-0.00529630357986003,-0.0118270684022855,-0.0199820578420269,-0.0014618881464589,0.00155441165983561,-0.00435893591195293,-0.00228956248677071
1960-12-31,-0.0230533169538371,-0.00534660266652458,-0.139638444518283,-0.00240524705781013,-0.0113360704284551,-0.00490937462749909,-0.00417393843178148
1961-03-31,-0.00106646725280749,-0.00880392004997481,0.0208968013628361,0.00284428248698828,-0.0205414730563849,-0.00569378775520881,-0.00576354012428729
1961-06-30,0.0112742008421053,0.00417064326487577,0.0599630555300071,0.00766695758732291,-0.0264438451083171,-0.00551970266385451,-0.00649295289648395
1961-09-30,0.0117930377637799,-0.00229706120716115,0.0669962214995312,0.000952437959674554,-0.0241949351902182,-0.00528742794600159,-0.00716481476705463
1961-12-31,0.0114598978917625,0.00964415050119478,0.0104533543736043,0.000184717427894462,-0.0151150963169524,-0.00470153716480828,-0.00728928318335466
1962-03-31,0.0108696400564673,0.00148708197134746,0.0403900764866769,0.00686279706376188,-0.0150994282282841,-0.00270608094449256,-0.00550671456956162
1962-06-30,-0.000127754305360969,0.00592899483422955,-0.023995203167642,0.00120058781668216,-0.00694387303692334,-0.00625576299048604,-0.00536590274776234
1962-09-30,0.00481994520814352,0.000310511792901604,0.00442568236355359,0.00112754414503443,-0.0127172702446874,-0.00572982213074293,-0.0049932612535467
1962-12-31,-0.00248047685891409,0.00675823915128455,-0.0435168104803498,0.00311141934478506,-0.0227757121268333,-0.00579286875362086,-0.00439732354450631
1963-03-31,0.00151805096284482,-0.00285442161566833,0.0357025718983764,0.00167440225958289,-0.0204929085826855,-0.00346130533850555,-0.00420702937396635
1963-06-30,0.00065877636188402,0.000886664471642941,0.00928016905845477,-0.000625153840367912,-0.017933524979628,-0.00609710225351036,-0.00409948781525458
1963-09-30,0.0154816556838243,0.00858232134873078,0.0189096631428143,0.00505432909119682,-0.0190380880613317,-0.00650709456674849,-0.00410775983226195
